name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Ryan Walker,newsletter@newsletter.conservativedirect.com,“Garbage” That’s what Joe Biden just called MILLIONS of Americans.,11/1/24 0:00,2024,11,1,0,0,newsletter.conservativedirect.com,R,True,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGEACTION FOR AMERICA,HERITAGEACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,48,44
Trisha Calvarese,info@adamforcolorado.com,$5 to defeat Boebert,11/1/24 0:02,2024,11,1,0,2,adamforcolorado.com,D,True,ADAM FOR COLORADO,,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,,,ADAM FOR COLORADO,,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,,ADAM FOR COLORADO,ADAM FOR COLORADO,,,,,ADAM FOR COLORADO,,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,,ADAM FOR COLORADO,,,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,ADAM FOR COLORADO,ADAM FOR COLORADO,,ADAM FOR COLORADO,26,26
Voter Action Project Team,info@voteractionproject.org,All in,11/1/24 0:02,2024,11,1,0,2,voteractionproject.org,D,True,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,INTEGRITY FIRST VOTER ACTION PROJECT,42,42
Elissa Slotkin,team@newdemactionfund.com,Real urgency,11/1/24 0:02,2024,11,1,0,2,newdemactionfund.com,D,True,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEW DEMOCRACTIC COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,THE NEW DEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEWDEMOCRAT COALITION ACTION FUND,NEW DEMOCRAT COALITION ACTION FUND,49,15
CAPT Hung Cao,info@makingamericathegreatest.com,I’ve waited my whole life to send you this,11/1/24 0:02,2024,11,1,0,2,makingamericathegreatest.com,R,True,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,OKGOP,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,48,47
Senate Conservatives,info@freedomfirstalert.com,Five Races Too Close to Call,11/1/24 0:03,2024,11,1,0,3,freedomfirstalert.com,R,True,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,,SENATE CONSERVATIVES FUND,,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,SENATE CONSERVATIVES FUND,48,48
=?utf-8?B?NSBEQVlTIExFRlQg4oCTIFVEIA==?=,info@unitedemocrats.org,Kamala Harris’ lead just SHRANK,11/1/24 0:03,2024,11,1,0,3,unitedemocrats.org,D,True,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITED DEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,UNITEDEMOCRATS PAC,48,47
YES! YES! YES! (FFR),hello@fightforreform.org,Liz Cheney RUINED Trump’s day,11/1/24 0:03,2024,11,1,0,3,fightforreform.org,D,True,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED,ENDCITIZENS UNITED NONFEDERAL,FIGHT FOR REFORM,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,"ENDCITIZENS UNITED NONFEDERAL, P.O. BOX 66005, WASHINGTON, D.C. 20035",END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,FIGHT FOR REFORM,END CITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED,ENDCITIZENS UNITED NONFEDERAL,ENDCITIZENS UNITED NONFEDERAL,49,13
Mark Hamill,info@trisha4co.com,"yes,",11/1/24 0:04,2024,11,1,0,4,trisha4co.com,D,True,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA4 COLORADO,TRISHA 4 COLORADO,TRISHA FOR COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,TRISHA 4 COLORADO,50,48
Elissa Slotkin,info@timkaine.com,My apologies,11/1/24 0:05,2024,11,1,0,5,timkaine.com,D,True,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,,KAINE FOR VIRGINI,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,KAINE FORVIRGINIA,KAINE FORVIRGINIA,KAINE FOR VIRGINIA,48,42
